hotel,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,meal,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,booking_changes,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,canceled
City Hotel,July,30,25,2,1,2,HB,ITA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,94.5,0,0,1
Resort Hotel,June,22,3,2,5,2,BB,IRL,Online TA,TA/TO,A,A,0,No Deposit,Transient,74.25,0,1,1
Resort Hotel,December,53,30,2,2,2,BB,FRA,Online TA,TA/TO,E,F,0,No Deposit,Transient,87.45,1,2,0
Resort Hotel,September,37,7,1,3,2,BB,PRT,Direct,Direct,A,C,0,No Deposit,Transient,122.75,0,0,0
City Hotel,August,35,22,1,2,2,BB,FRA,Online TA,TA/TO,A,A,2,No Deposit,Transient,94.56,0,0,0
City Hotel,November,46,11,0,2,2,SC,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,88.0,0,0,1
City Hotel,April,16,19,0,4,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,100.0,0,0,1
City Hotel,March,12,18,0,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,80.0,0,0,1
City Hotel,October,42,14,0,1,1,BB,PRT,Offline TA/TO,TA/TO,A,D,0,No Deposit,Transient-Party,120.0,0,0,0
City Hotel,June,23,2,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.0,0,0,1
City Hotel,August,35,25,0,4,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,0,1
City Hotel,July,29,16,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.8,0,0,1
City Hotel,March,14,30,0,1,1,BB,PRT,Corporate,Corporate,A,A,0,No Deposit,Transient,88.0,0,0,0
City Hotel,March,9,2,0,3,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,95.0,0,0,1
City Hotel,October,42,12,0,3,1,BB,PRT,Offline TA/TO,TA/TO,A,A,1,No Deposit,Transient-Party,70.0,0,0,0
City Hotel,January,1,2,1,3,3,BB,ITA,Online TA,TA/TO,D,D,0,No Deposit,Transient,119.0,0,1,1
Resort Hotel,June,26,26,2,5,2,BB,GBR,Offline TA/TO,TA/TO,A,A,0,No Deposit,Contract,70.2,0,0,0
City Hotel,August,34,26,2,1,2,BB,GBR,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,112.67,0,1,0
City Hotel,August,33,14,0,2,2,HB,DEU,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,109.0,0,0,0
City Hotel,July,27,6,1,3,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,160.0,0,2,0
City Hotel,September,38,14,0,3,1,BB,PRT,Corporate,Corporate,A,A,3,No Deposit,Transient,65.0,0,0,0
Resort Hotel,September,38,17,0,3,1,BB,GBR,Groups,Corporate,A,A,0,Non Refund,Transient,33.3,0,0,1
Resort Hotel,February,9,27,1,1,2,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,48.0,0,1,0
Resort Hotel,August,33,7,2,4,2,BB,PRT,Online TA,TA/TO,H,H,0,No Deposit,Transient,269.0,0,0,1
City Hotel,June,24,6,1,2,1,BB,PRT,Offline TA/TO,Corporate,A,A,0,No Deposit,Transient-Party,110.0,0,0,0
City Hotel,June,26,20,1,2,2,BB,FRA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,85.5,0,0,0
City Hotel,July,30,22,2,3,2,BB,PRT,Direct,Direct,D,D,0,No Deposit,Transient,110.5,0,0,0
City Hotel,September,38,17,2,2,2,BB,DEU,Direct,Direct,D,D,0,No Deposit,Transient,162.5,0,0,0
Resort Hotel,June,25,13,1,1,2,BB,LBN,Online TA,TA/TO,G,G,0,No Deposit,Transient,159.0,0,0,0
City Hotel,September,37,8,0,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,60.0,0,0,1
City Hotel,July,27,3,1,2,2,BB,PHL,Online TA,TA/TO,A,A,0,No Deposit,Transient,107.1,0,1,1
Resort Hotel,July,30,23,2,5,2,BB,PRT,Direct,Direct,A,A,0,No Deposit,Transient-Party,160.0,0,2,1
City Hotel,July,30,23,4,5,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,145.56,0,1,1
City Hotel,September,39,22,0,1,2,BB,FRA,Direct,Direct,E,E,0,No Deposit,Transient,230.0,0,0,0
Resort Hotel,March,10,9,2,3,2,BB,FRA,Online TA,TA/TO,C,C,2,No Deposit,Transient,75.0,0,2,0
Resort Hotel,June,25,15,2,8,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,72.0,0,1,1
Resort Hotel,October,42,10,1,1,2,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,65.0,0,2,0
City Hotel,October,41,4,2,0,1,BB,PRT,Offline TA/TO,TA/TO,A,A,1,No Deposit,Transient-Party,73.0,0,0,0
City Hotel,March,10,11,1,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,80.0,0,0,1
City Hotel,December,53,25,2,1,2,BB,AUT,Online TA,TA/TO,A,A,0,No Deposit,Transient,93.6,0,1,0
Resort Hotel,June,26,30,0,2,2,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,180.0,0,1,0
City Hotel,August,31,4,0,1,2,BB,BEL,Online TA,TA/TO,A,A,0,No Deposit,Transient,160.0,0,1,0
City Hotel,May,20,16,0,2,2,BB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,129.2,0,1,0
City Hotel,March,11,14,0,5,2,BB,GBR,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,68.0,0,1,0
Resort Hotel,May,18,3,0,2,2,BB,ROU,Online TA,TA/TO,A,I,0,No Deposit,Transient-Party,54.0,0,1,0
Resort Hotel,May,18,5,2,5,2,BB,GBR,Direct,Direct,G,G,0,No Deposit,Transient,160.0,0,1,0
Resort Hotel,May,20,19,2,5,2,BB,CHE,Online TA,TA/TO,D,D,2,No Deposit,Transient-Party,73.23,0,2,0
City Hotel,June,24,9,0,3,1,BB,NOR,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,121.5,0,1,0
City Hotel,October,40,1,1,1,2,HB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,100.0,0,0,1
City Hotel,January,4,23,1,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,80.0,0,0,1
City Hotel,June,25,15,0,2,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,130.0,0,0,1
Resort Hotel,July,27,4,4,6,2,BB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,71.55,0,1,0
City Hotel,April,17,29,0,1,2,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,180.0,0,1,1
City Hotel,October,44,25,2,0,1,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,92.4,0,0,0
City Hotel,December,51,15,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.8,0,0,1
City Hotel,October,41,8,2,2,0,BB,CHE,Online TA,TA/TO,B,B,0,No Deposit,Transient,108.0,0,3,0
City Hotel,June,25,15,0,2,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,130.0,0,0,1
Resort Hotel,June,23,4,1,1,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,64.8,0,3,1
City Hotel,August,35,27,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.8,0,0,1
City Hotel,June,24,12,1,2,3,BB,GBR,Online TA,TA/TO,D,D,0,No Deposit,Transient,189.0,0,0,1
Resort Hotel,February,8,19,0,2,2,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,54.4,0,1,1
City Hotel,December,52,24,2,3,1,HB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,117.3,0,2,0
Resort Hotel,August,34,22,0,5,2,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,225.0,0,2,0
Resort Hotel,June,26,25,1,1,2,BB,PRT,Direct,Direct,F,F,0,No Deposit,Transient,169.0,0,0,1
Resort Hotel,December,53,26,1,3,1,BB,PRT,Corporate,Corporate,A,D,0,No Deposit,Transient,27.0,0,0,0
City Hotel,July,30,23,2,0,3,BB,ESP,Direct,Direct,D,D,0,No Deposit,Transient,193.0,0,0,0
City Hotel,November,48,23,1,2,1,BB,EGY,Groups,TA/TO,A,D,0,No Deposit,Transient-Party,70.0,0,0,0
City Hotel,August,35,24,0,3,2,BB,ESP,Online TA,TA/TO,A,A,1,No Deposit,Transient-Party,145.1,0,0,0
Resort Hotel,February,5,2,0,1,1,BB,PRT,Online TA,TA/TO,A,D,0,No Deposit,Transient,43.0,0,1,0
City Hotel,March,13,20,2,5,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,89.74,0,1,1
City Hotel,May,19,13,2,1,2,BB,PRT,Groups,TA/TO,A,A,2,No Deposit,Transient-Party,89.1,0,0,1
City Hotel,June,26,29,0,1,1,BB,PRT,Direct,Direct,B,A,1,No Deposit,Transient,168.5,0,0,0
City Hotel,September,36,4,0,2,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,116.0,0,0,1
City Hotel,February,8,24,0,2,3,BB,ESP,Online TA,TA/TO,D,D,0,No Deposit,Transient,158.0,0,0,1
Resort Hotel,October,43,22,2,1,2,BB,ESP,Direct,Direct,E,E,1,No Deposit,Transient,89.0,0,0,0
Resort Hotel,April,16,22,2,5,2,FB,PRT,Groups,Corporate,C,C,0,No Deposit,Transient-Party,89.0,0,0,1
City Hotel,December,53,25,2,5,2,SC,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,68.61,0,0,1
City Hotel,October,42,16,0,2,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient-Party,101.5,0,0,1
City Hotel,June,26,24,0,2,1,BB,SRB,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,95.0,0,0,0
Resort Hotel,March,10,4,0,1,2,BB,DEU,Online TA,TA/TO,A,D,0,No Deposit,Transient,48.0,0,0,0
City Hotel,April,18,27,0,4,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,75.0,0,0,1
Resort Hotel,August,33,17,0,2,2,HB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,262.0,0,1,1
City Hotel,August,32,5,2,2,1,BB,USA,Online TA,TA/TO,D,D,0,No Deposit,Transient,144.45,0,0,1
City Hotel,December,51,16,1,2,2,SC,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,79.2,0,1,1
City Hotel,October,44,25,0,1,2,SC,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,120.0,0,2,1
City Hotel,June,23,2,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.0,0,0,1
City Hotel,October,44,27,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.0,0,0,1
Resort Hotel,February,7,12,0,2,2,FB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,68.0,0,0,1
City Hotel,December,53,28,2,4,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,76.67,0,0,1
Resort Hotel,July,30,20,1,3,2,HB,PRT,Direct,Direct,A,A,0,No Deposit,Transient,157.0,1,0,0
City Hotel,October,42,13,0,3,1,BB,SWE,Online TA,TA/TO,D,D,0,No Deposit,Transient,132.3,0,2,0
City Hotel,May,22,30,0,4,2,BB,AUS,Groups,TA/TO,A,A,1,No Deposit,Transient-Party,107.0,0,1,0
City Hotel,February,9,27,1,2,3,BB,CHE,Online TA,TA/TO,D,D,1,No Deposit,Transient,158.0,0,0,1
Resort Hotel,July,31,31,3,9,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,138.0,0,0,1
City Hotel,May,18,4,0,2,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,115.0,0,1,1
City Hotel,October,43,17,1,5,2,SC,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,140.0,0,1,1
City Hotel,May,18,6,1,1,2,BB,NOR,Online TA,TA/TO,E,E,1,No Deposit,Transient,162.0,0,3,0
Resort Hotel,October,43,16,2,2,2,HB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,85.0,0,0,0
City Hotel,October,42,13,0,3,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,95.0,0,0,1
City Hotel,July,28,4,1,4,3,BB,GBR,Online TA,TA/TO,D,D,0,No Deposit,Transient,150.3,0,0,1
Resort Hotel,August,33,15,0,1,2,BB,PRT,Direct,TA/TO,A,A,0,No Deposit,Group,176.0,1,1,0
City Hotel,May,21,16,1,2,2,SC,CN,Online TA,TA/TO,A,A,0,No Deposit,Transient,89.4,0,2,0
Resort Hotel,September,36,1,0,1,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,81.0,0,2,1
Resort Hotel,April,14,8,2,1,3,BB,ESP,Online TA,TA/TO,H,H,0,No Deposit,Transient,150.0,0,0,1
City Hotel,April,18,27,0,1,1,BB,DNK,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,85.5,0,1,0
Resort Hotel,January,4,22,1,0,2,BB,ITA,Online TA,TA/TO,A,D,0,No Deposit,Transient,48.0,0,0,0
City Hotel,June,26,30,2,2,3,BB,BEL,Online TA,TA/TO,D,D,0,No Deposit,Transient,150.24,0,0,0
Resort Hotel,September,39,21,1,1,2,HB,FRA,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,90.0,0,0,0
Resort Hotel,August,34,25,2,5,2,BB,GBR,Online TA,TA/TO,G,G,0,No Deposit,Transient,308.57,0,2,0
Resort Hotel,July,28,10,2,5,2,HB,GBR,Online TA,TA/TO,F,F,0,No Deposit,Transient,125.54,0,3,0
Resort Hotel,July,31,28,1,3,2,BB,CN,Online TA,TA/TO,A,A,0,No Deposit,Transient,151.76,0,1,0
Resort Hotel,June,25,18,0,1,2,HB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,161.0,0,0,1
Resort Hotel,July,31,29,1,2,2,HB,ESP,Online TA,TA/TO,A,B,1,No Deposit,Transient,165.04,0,2,0
City Hotel,April,17,25,0,2,2,BB,CHE,Online TA,TA/TO,A,B,0,No Deposit,Transient,175.5,0,0,0
City Hotel,October,44,29,2,1,2,BB,BRA,Online TA,TA/TO,F,F,0,No Deposit,Transient,159.9,0,0,1
Resort Hotel,March,14,30,2,4,2,BB,GBR,Groups,Corporate,A,I,4,No Deposit,Transient-Party,0.0,0,0,0
Resort Hotel,August,34,24,0,3,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,198.0,0,0,1
City Hotel,March,11,17,1,2,2,BB,NLD,Online TA,TA/TO,A,A,0,No Deposit,Transient,93.6,0,2,0
City Hotel,March,13,25,1,2,2,BB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,137.4,0,1,1
Resort Hotel,April,15,9,2,5,2,HB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,80.0,0,0,1
City Hotel,January,4,23,0,1,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,98.0,0,0,0
Resort Hotel,July,27,2,2,2,2,BB,ESP,Online TA,TA/TO,C,C,0,No Deposit,Transient,199.0,0,1,1
Resort Hotel,May,18,5,0,2,2,BB,ESP,Direct,Direct,D,D,0,No Deposit,Transient,107.0,1,1,0
Resort Hotel,December,49,2,0,2,2,HB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,85.5,0,2,1
City Hotel,July,28,7,0,3,2,SC,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,103.5,0,0,1
Resort Hotel,March,13,24,0,3,2,BB,PRT,Direct,Direct,G,G,0,No Deposit,Transient,110.0,0,0,1
Resort Hotel,March,10,4,2,3,2,BB,ESP,Online TA,TA/TO,D,D,2,No Deposit,Transient,58.0,0,1,0
City Hotel,May,19,5,0,3,1,BB,AUT,Online TA,TA/TO,A,A,0,No Deposit,Transient,99.9,0,0,1
City Hotel,October,44,26,1,3,2,BB,FRA,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,75.0,0,0,0
City Hotel,June,24,10,0,2,2,BB,AUS,Online TA,TA/TO,D,D,0,No Deposit,Transient,156.0,0,0,1
City Hotel,February,8,17,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,75.0,0,0,1
Resort Hotel,August,34,23,0,2,2,BB,ESP,Direct,Direct,C,C,0,No Deposit,Transient,289.0,0,1,0
City Hotel,October,44,26,1,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Contract,62.0,0,0,1
City Hotel,September,37,11,0,2,2,BB,ESP,Online TA,TA/TO,A,D,0,No Deposit,Transient-Party,93.5,0,1,0
City Hotel,August,35,24,1,2,2,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,76.5,0,1,0
Resort Hotel,August,35,30,2,5,2,BB,IRL,Online TA,TA/TO,A,A,0,No Deposit,Transient,175.71,0,0,1
City Hotel,November,47,16,0,2,2,SC,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,88.0,0,1,1
City Hotel,June,23,9,2,2,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,169.75,0,1,0
City Hotel,September,39,26,2,2,1,BB,ITA,Groups,TA/TO,A,A,1,No Deposit,Transient-Party,170.0,0,0,0
City Hotel,September,38,16,2,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,80.75,0,0,0
City Hotel,January,1,5,0,3,2,BB,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,124.0,0,2,0
City Hotel,June,25,15,0,2,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,130.0,0,0,1
City Hotel,May,22,31,0,1,1,BB,PRT,Corporate,Corporate,A,D,0,No Deposit,Transient,104.0,1,2,0
Resort Hotel,August,32,4,2,3,2,BB,PRT,Online TA,TA/TO,G,G,0,No Deposit,Transient,240.0,0,1,1
City Hotel,September,38,17,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Contract,62.0,0,0,1
Resort Hotel,February,7,9,0,1,2,BB,GBR,Online TA,TA/TO,A,D,0,No Deposit,Transient-Party,58.0,0,2,0
City Hotel,February,7,12,0,0,2,BB,PRT,Direct,Direct,B,B,2,No Deposit,Transient,0.0,0,0,0
City Hotel,February,7,12,0,2,2,BB,FRA,Direct,Direct,A,A,0,No Deposit,Transient-Party,69.5,0,1,0
Resort Hotel,October,43,18,0,1,2,HB,RUS,Groups,TA/TO,A,A,2,No Deposit,Transient,52.0,0,0,0
City Hotel,May,20,19,1,2,2,BB,NLD,Online TA,TA/TO,A,A,0,No Deposit,Transient,126.0,0,2,0
Resort Hotel,February,5,4,6,15,1,BB,SWE,Online TA,TA/TO,D,D,2,No Deposit,Transient,48.8,0,1,0
City Hotel,June,23,7,0,2,2,HB,ESP,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,166.5,0,0,1
Resort Hotel,August,35,22,1,2,2,BB,ESP,Online TA,TA/TO,D,D,2,No Deposit,Transient,202.0,0,0,1
Resort Hotel,January,2,5,0,5,2,BB,PRT,Online TA,TA/TO,G,G,0,No Deposit,Transient,86.0,0,2,1
City Hotel,October,41,5,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,120.0,0,0,1
City Hotel,August,34,20,2,5,2,HB,PRT,Offline TA/TO,TA/TO,A,D,0,No Deposit,Transient-Party,88.38,0,4,0
Resort Hotel,February,8,25,1,1,2,BB,ESP,Online TA,TA/TO,D,D,0,No Deposit,Transient,62.0,0,1,0
City Hotel,May,22,24,0,2,1,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,130.0,0,0,1
City Hotel,June,24,9,0,3,2,BB,FRA,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,73.33,0,1,0
City Hotel,March,10,11,0,1,2,SC,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,79.2,0,1,1
City Hotel,May,20,19,1,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,110.0,0,0,1
City Hotel,July,30,24,1,0,2,SC,CN,Online TA,TA/TO,A,A,0,No Deposit,Transient,86.4,0,1,0
City Hotel,August,34,22,2,1,2,HB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient-Party,86.0,0,0,1
City Hotel,March,14,28,1,2,2,BB,IRL,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,70.0,0,1,0
City Hotel,December,50,6,1,5,2,BB,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,88.4,0,3,1
City Hotel,March,11,10,0,1,1,BB,PRT,Corporate,Direct,A,A,0,No Deposit,Transient,50.0,1,1,0
City Hotel,August,36,28,2,2,2,BB,RUS,Online TA,TA/TO,D,D,0,No Deposit,Transient,111.6,0,0,0
Resort Hotel,May,23,30,2,5,1,BB,GBR,Online TA,TA/TO,D,D,0,No Deposit,Transient,116.43,0,0,1
City Hotel,September,39,24,2,4,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,170.0,0,0,1
City Hotel,June,25,21,0,1,1,BB,PRT,Complementary,Direct,E,C,0,No Deposit,Transient,0.0,0,3,0
Resort Hotel,August,33,9,2,5,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,154.0,0,0,1
City Hotel,April,15,6,0,1,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,104.0,0,0,0
City Hotel,August,34,21,1,3,2,SC,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,125.0,0,2,1
City Hotel,March,13,26,2,1,2,BB,CN,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,72.0,0,0,0
City Hotel,December,52,24,0,3,2,BB,ESP,Direct,Direct,A,A,1,No Deposit,Transient,85.5,0,1,0
Resort Hotel,December,49,3,0,1,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,46.4,0,1,1
City Hotel,February,7,7,2,1,1,BB,CHE,Online TA,TA/TO,A,A,1,No Deposit,Transient,86.0,0,2,0
Resort Hotel,June,23,8,0,1,1,BB,PRT,Corporate,Corporate,A,A,0,No Deposit,Transient,75.0,0,0,1
City Hotel,February,9,21,2,1,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,75.0,0,0,1
City Hotel,March,12,23,0,3,2,BB,GBR,Online TA,TA/TO,F,F,1,No Deposit,Transient,208.0,0,0,0
City Hotel,November,45,2,0,3,1,SC,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,85.87,0,1,0
City Hotel,August,34,20,0,1,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,159.0,0,0,0
City Hotel,July,28,3,2,3,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,85.0,0,0,0
City Hotel,September,38,16,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient-Party,62.0,0,0,1
Resort Hotel,March,14,29,0,2,2,BB,PRT,Direct,Direct,D,D,0,No Deposit,Transient,58.0,0,0,0
City Hotel,September,37,8,0,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,65.0,0,0,1
City Hotel,April,15,7,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.0,0,0,1
City Hotel,March,12,23,0,3,2,BB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,97.28,0,0,0
City Hotel,October,45,31,1,5,3,BB,GBR,Online TA,TA/TO,D,D,0,No Deposit,Transient,115.09,0,1,0
Resort Hotel,March,10,5,2,5,2,HB,DEU,Groups,TA/TO,A,C,0,No Deposit,Transient-Party,28.0,0,0,0
City Hotel,January,4,19,0,2,1,BB,NOR,Offline TA/TO,TA/TO,A,B,2,No Deposit,Transient-Party,71.0,0,0,0
City Hotel,February,8,22,0,2,1,BB,ESP,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,65.0,0,1,0
Resort Hotel,April,16,13,0,4,2,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,71.0,1,1,0
Resort Hotel,January,2,9,0,1,2,BB,GBR,Online TA,TA/TO,G,G,0,No Deposit,Transient,58.52,1,2,0
Resort Hotel,April,17,18,1,1,2,BB,RUS,Groups,Corporate,E,E,0,No Deposit,Transient-Party,91.0,0,0,0
City Hotel,October,44,23,2,0,1,BB,PRT,Corporate,Corporate,A,D,0,No Deposit,Transient,67.0,1,1,0
Resort Hotel,August,32,3,1,4,2,BB,PRT,Direct,Direct,A,A,0,No Deposit,Transient,113.9,0,2,0
Resort Hotel,January,4,26,0,3,3,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,49.9,0,1,0
Resort Hotel,January,3,16,1,2,1,Undefined,PRT,Groups,Direct,A,A,0,No Deposit,Transient-Party,55.0,0,0,0
Resort Hotel,May,18,2,0,3,2,BB,NGA,Offline TA/TO,TA/TO,A,C,1,No Deposit,Transient,48.0,0,1,0
City Hotel,May,22,28,2,3,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,130.0,0,0,1
Resort Hotel,August,31,1,0,1,2,BB,NLD,Online TA,TA/TO,G,G,0,No Deposit,Transient,319.0,1,1,0
City Hotel,September,38,16,0,1,1,BB,PRT,Direct,Direct,A,A,0,No Deposit,Transient,114.0,0,1,1
City Hotel,June,24,9,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.0,0,0,1
Resort Hotel,October,44,26,1,4,2,BB,IRL,Online TA,TA/TO,E,E,1,No Deposit,Transient,66.0,0,2,0
City Hotel,October,41,4,2,0,2,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Group,76.81,0,0,0
Resort Hotel,November,45,1,0,1,1,BB,CHE,Online TA,TA/TO,A,A,0,No Deposit,Transient,55.0,0,2,0
City Hotel,March,14,29,0,1,2,SC,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,89.0,0,0,0
City Hotel,August,33,18,1,2,2,HB,NLD,Online TA,TA/TO,D,D,0,No Deposit,Transient,208.0,0,1,1
Resort Hotel,June,24,7,4,10,2,BB,IRL,Online TA,TA/TO,D,D,0,No Deposit,Transient,87.5,0,0,0
City Hotel,July,31,27,1,1,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,0,1
City Hotel,August,34,25,2,3,2,SC,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,89.1,0,1,0
City Hotel,October,40,2,0,2,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,100.0,0,0,0
Resort Hotel,September,36,2,0,2,2,HB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient-Party,155.0,0,3,1
City Hotel,February,7,13,0,1,2,BB,ESP,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,72.8,0,0,0
City Hotel,January,4,27,0,1,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,93.6,0,2,1
City Hotel,October,43,21,0,2,2,BB,FRA,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,95.0,0,0,0
City Hotel,September,38,19,2,2,2,BB,RUS,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,0,0
